Submitter,Submitter Type
"Kleinfeld, Kaplan and Becker, LLP",law/consulting
"Beck & Thomas, P.C.",law/consulting
"Beck & Thomas, P.C.",law/consulting
"Hyman, Phelps & McNamara, P.C.",law/consulting
"Hyman, Phelps & McNamara, P.C.",law/consulting
"Beck & Thomas, P.C.",law/consulting
"Hyman, Phelps & McNamara, P.C.",law/consulting
Regcon Solutions,law/consulting
Regcon Solutions,law/consulting
"Epstein Becker & Green, P.C.",law/consulting
Latham & Watkins LLP,law/consulting
Foley & Lardner LLP,law/consulting
Covington & Burling LLP,law/consulting
Covington & Burling LLP,law/consulting
Foley & Lardner LLP,law/consulting
"Kleinfeld, Kaplan & Becker, LLP",law/consulting
"Kleinfeld, Kaplan & Becker, LLP",law/consulting
"Wilson Sonsini Goodrich & Rosati, P.C.",law/consulting
EAS Consulting Group,law/consulting
EAS Consulting Group,law/consulting
"Hyman, Phelps & McNamara, P.C.",law/consulting
Steptoe & Johnson LLP,law/consulting
Covington & Burling LLP,law/consulting
"Kleinfeld, Kaplan and Becker LLP",law/consulting
KARA & Associates,law/consulting
"Emord & Associates, P.C.",law/consulting
Foley & Lardner LLP,law/consulting
Foley & Lardner LLP,law/consulting
Foley & Lardner LLP,law/consulting
Foley & Lardner LLP,law/consulting
Foley & Lardner LLP,law/consulting
Foley & Lardner LLP,law/consulting
Foley & Lardner LLP,law/consulting
Foley & Lardner LLP,law/consulting
"Hyman, Phelps & McNamara, P.C.",law/consulting
Goodwin Procter LLP,law/consulting
"Porzio, Bromberg & Newman, P.C.",law/consulting
Amin Talati Upadhye LLP,law/consulting
Amin Talati Upadhye LLP,law/consulting
Sidley Austin LLP,law/consulting
Sidley Austin LLP,law/consulting
Center for Lawful Access and Abuse Deterrence (CLAAD),law/consulting
Sidley Austin LLP,law/consulting
Hogan Lovells US LLP,law/consulting
Hogan Lovells US LLP,law/consulting
"Hyman, Phelps & McNamara, P.C.",law/consulting
"Kent Heckenlively, JD; also signed by Rima E. Laibow, MD and Ralph Fucetola, JD on behalf of Natural Solutions Foundation and Institute for Health Research respectively",law/consulting
"Hyman, Phelps & McNamara, P.C.",law/consulting
"Hyman, Phelps & McNamara, P.C.",law/consulting
Locke Lord LLP,law/consulting
"Hyman, Phelps & McNamara, P.C.",law/consulting
ANDA Consultants,law/consulting
"Hyman, Phelps & McNamara, P.C.",law/consulting
"Hyman, Phelps & McNamara, P.C.",law/consulting
"Hyman, Phelps & McNamara, P.C.",law/consulting
Goodwin Procter LLP,law/consulting
Arent Fox LLP,law/consulting
Arent Fox LLP,law/consulting
Goodwin Procter LLP,law/consulting
"Axinn, Veltrop & Harkrider LLP",law/consulting
"Axinn, Veltrop & Harkrider LLP",law/consulting
"Axinn, Veltrop & Harkrider LLP",law/consulting
Goodwin Procter LLP,law/consulting
King & Spalding LLP,law/consulting
Foley & Lardner LLP,law/consulting
"Axinn, Veltrop & Harkrider LLP",law/consulting
"Axinn, Veltrop & Harkrider LLP",law/consulting
"Kleinfeld, Kaplan & Becker LLP",law/consulting
Locke Lord LLP,law/consulting
Amin Talati Upadhye LLP,law/consulting
Greenberg Traurig LLP,law/consulting
Greenberg Traurig LLP,law/consulting
Arnall Golden Gregory LLP,law/consulting
Foley Hoag LLP,law/consulting
Capstone Law APC,law/consulting
"Hyman, Phelps & McNamara, P.C.",law/consulting
"Hyman, Phelps & McNamara, P.C.",law/consulting
"Haynes and Boone, LLP",law/consulting
